ID,School,Common Name,Nickname,City,State,Type,Subdivision,Primary Conference,Tournament appearances,Final Four appearances,Championship wins
219,The College of William and Mary in Virginia,William & Mary,Tribe,Williamsburg,VA,Public,FCS,Coastal Athletic Association,0,0,0
220,The George Washington University,George Washington,Revolutionaries,Washington,DC,Private,Non-football,Atlantic 10 Conference,11,0,0
221,The Ohio State University,Ohio State,Buckeyes,Columbus,OH,Public,FBS,Big Ten Conference,31,10,1
222,The Ohio University,Ohio,Bobcats,Athens,OH,Public,FBS,Mid-American Conference,14,0,0
223,The Pennsylvania State University,Penn State,Nittany Lions,University Park,PA,Public,FBS,Big Ten Conference,10,1,0
224,The University of Akron,Akron,Zips,Akron,OH,Public,FBS,Mid-American Conference,5,0,0
225,The University of Alabama,Alabama,Crimson Tide,Tuscaloosa,AL,Public,FBS,Southeastern Conference,24,0,0
226,The University of Mississippi,Ole Miss,Rebels,University,MS,Public,FBS,Southeastern Conference,9,0,0
227,The University of New Mexico,New Mexico,Lobos,Albuquerque,NM,Public,FBS,Mountain West Conference,15,0,0
228,The University of Tennessee at Chattanooga,Chattanooga,Mocs,Chattanooga,TN,Public,FCS,Southern Conference,12,0,0
229,The University of Tennessee at Martin,UT Martin,Skyhawks,Martin,TN,Public,FCS,Ohio Valley Conference,0,0,0
230,"The University of Tennessee, Knoxville",Tennessee,Volunteers,Knoxville,TN,Public,FBS,Southeastern Conference,25,0,0
231,The University of Texas Rio Grande Valley,UTRGV,Vaqueros,Edinburg,TX,Public,Non-football,Western Athletic Conference,0,0,0
232,The University of Texas at Arlington,UT Arlington,Mavericks,Arlington,TX,Public,Non-football,Western Athletic Conference,1,0,0
233,The University of Texas at Austin,Texas,Longhorns,Austin,TX,Public,FBS,Big 12 Conference,37,3,0
234,The University of Texas at El Paso,UTEP,Miners,El Paso,TX,Public,FBS,Conference USA,17,1,1
235,The University of Texas at San Antonio,UTSA,Roadrunners,San Antonio,TX,Public,FBS,American Athletic Conference,4,0,0
236,The University of Tulsa,Tulsa,Golden Hurricane,Tulsa,OK,Private,FBS,American Athletic Conference,16,0,0
237,The University of Vermont and State Agricultural College,Vermont,Catamounts,Burlington,VT,Public,Non-football,America East Conference,9,0,0
238,Towson University,Towson,Tigers,Towson,MD,Public,FCS,Coastal Athletic Association,2,0,0
239,Troy University,Troy,Trojans,Troy,AL,Public,FBS,Sun Belt Conference,2,0,0
240,Tulane University of Louisiana,Tulane,Green Wave,New Orleans,LA,Private,FBS,American Athletic Conference,3,0,0
241,United States Air Force Academy,Air Force,Falcons,USAF Academy,CO,Federal,FBS,Mountain West Conference,4,0,0
242,United States Military Academy,Army,Black Knights,West Point,NY,Federal,FBS,Patriot League,0,0,0
243,United States Naval Academy,Navy,Midshipmen,Annapolis,MD,Federal,FBS,Patriot League,11,0,0
244,University of Alabama at Birmingham,UAB,Blazers,Birmingham,AL,Public,FBS,American Athletic Conference,16,0,0
245,University of Arizona,Arizona,Wildcats,Tucson,AZ,Public,FBS,Pac-12 Conference,37,4,1
246,University of Arkansas,Arkansas,Razorbacks,Fayetteville,AR,Public,FBS,Southeastern Conference,35,6,1
247,University of Arkansas at Little Rock,Little Rock,Trojans,Little Rock,AR,Public,Non-football,Ohio Valley Conference,5,0,0
248,University of Arkansas at Pine Bluff,Arkansas–Pine Bluff,Golden Lions,Pine Bluff,AR,Public,FCS,Southwestern Athletic Conference,1,0,0
249,"University of California, Berkeley",California,Golden Bears,Berkeley,CA,Public,FBS,Pac-12 Conference,19,3,1
250,"University of California, Davis",UC Davis,Aggies,Davis,CA,Public,FCS,Big West Conference,1,0,0
